"createDt","deathCnt","defCnt","gubun","gubunCn","gubunEn","incDec","isolClearCnt","isolIngCnt","localOccCnt","overFlowCnt","qurRate","seq","stdDay","updateDt"
2020-12-23,"5","525","전남","全南","Jeollanam-do","12","425","83","12","0","28.15","6539","2020년 12월 23일 00시","null"
2020-12-23,"7","713","전북","全北","Jeollabuk-do","21","452","233","20","1","39.23","6538","2020년 12월 23일 00시","null"
2020-12-23,"19","1316","충남","忠南","Chungcheongnam-do","11","974","312","11","0","62.00","6537","2020년 12월 23일 00시","null"
2020-12-23,"15","892","충북","忠北","Chungcheongbuk-do","58","441","378","58","0","55.77","6536","2020년 12월 23일 00시","null"
2020-12-23,"13","1012","강원","江原","Gangwon-do","13","709","277","13","0","65.69","6535","2020년 12월 23일 00시","null"
2020-12-23,"181","12460","경기","京畿","Gyeonggi-do","310","8608","3363","299","11","94.04","6534","2020년 12월 23일 00시","null"
2020-12-23,"0","131","세종","世宗","Sejong","1","122","8","1","0","38.27","6533","2020년 12월 23일 00시","null"
2020-12-23,"17","586","울산","蔚山","Ulsan","18","299","252","16","2","51.09","6532","2020년 12월 23일 00시","null"
2020-12-23,"6","743","대전","大田","Daejeon","35","577","125","34","1","50.40","6531","2020년 12월 23일 00시","null"
2020-12-23,"3","941","광주","光州","Gwangju","36","755","147","35","1","64.60","6530","2020년 12월 23일 00시","null"
2020-12-23,"19","2430","인천","仁川","Incheon","49","1617","745","46","3","82.20","6529","2020년 12월 23일 00시","null"
2020-12-23,"200","7581","대구","大邱","Daegu","24","7098","259","24","0","311.14","6528","2020년 12월 23일 00시","null"
2020-12-23,"28","1571","부산","釜山","Busan","32","1039","472","32","0","46.05","6527","2020년 12월 23일 00시","null"
2020-12-23,"144","15732","서울","首<U+5C14>","Seoul","376","8562","6650","373","3","161.63","6526","2020년 12월 23일 00시","null"
2020-12-23,"722","52550","합계","合<U+8BA1>","Total","1092","35928","14810","1060","32","101.35","6525","2020년 12월 23일 00시","null"
2020-12-22,"1","2361","검역","隔離區","Lazaretto","18","1658","702","0","18","-","6524","2020년 12월 22일 00시","null"
2020-12-22,"0","271","제주","<U+6D4E>州","Jeju","19","103","168","19","0","40.40","6523","2020년 12월 22일 00시","null"
2020-12-22,"3","1095","경남","<U+5E86>南","Gyeongsangnam-do","18","768","324","18","0","32.58","6522","2020년 12월 22일 00시","null"
2020-12-22,"61","2094","경북","<U+5E86>北","Gyeongsangbuk-do","59","1721","312","58","1","78.65","6521","2020년 12월 22일 00시","null"
2020-12-22,"5","513","전남","全南","Jeollanam-do","5","425","83","4","1","27.51","6520","2020년 12월 22일 00시","null"
2020-12-22,"7","692","전북","全北","Jeollabuk-do","4","452","233","4","0","38.08","6519","2020년 12월 22일 00시","null"
2020-12-22,"19","1305","충남","忠南","Chungcheongnam-do","17","974","312","15","2","61.49","6518","2020년 12월 22일 00시","null"
2020-12-22,"15","834","충북","忠北","Chungcheongbuk-do","31","441","378","30","1","52.14","6517","2020년 12월 22일 00시","null"
2020-12-22,"13","999","강원","江原","Gangwon-do","23","709","277","23","0","64.85","6516","2020년 12월 22일 00시","null"
2020-12-22,"181","12150","경기","京畿","Gyeonggi-do","204","8608","3361","191","13","91.71","6515","2020년 12월 22일 00시","2020-12-23 09:37:35.338"
2020-12-22,"0","130","세종","世宗","Sejong","1","122","8","1","0","37.98","6514","2020년 12월 22일 00시","null"
2020-12-22,"17","568","울산","蔚山","Ulsan","6","299","252","6","0","49.52","6513","2020년 12월 22일 00시","null"
